screen_name,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,default_profile,default_profile_image,name,description,bot
pentametron,23472,2,653,120,FALSE,59327,TRUE,FALSE,Pentametron,With algorithms subtle and discrete / I seek iambic writings to retweet.,1
ArkhamSingles,43,1,13,4,FALSE,26955,TRUE,FALSE,Arkham Singles,"Because even in a sunken, dead city things can be lonely. By @polm23",1
NYC_Newswire,11,74,0,0,FALSE,1,TRUE,FALSE,NYC Newswire,NYC Newswire Service,1
"""VegasPokeMap""",928,0,20,0,FALSE,71773,TRUE,FALSE,"""Vegas PokŽmon Alert""","""Rare and strong PokŽmon in Las Vegas and Spring Valley. See more PokŽmon at https://t.co/GB4nYu29n3""",1
literaldevices,63,2,15,1,FALSE,2672,TRUE,FALSE,Literal Devices,A bot that generates novel literary and rhetorical devices and their definitions. By @atduskgreg.,1
emojicheer,71,2,14,1,FALSE,644,TRUE,FALSE,The Goal,BOT HARD EVE RY DAY TIL WE REACH THE GOAL #taskcomplete by @negatendo,1
EuphemismBot,131,2,27,0,FALSE,4499,TRUE,FALSE,Euphemism Bot,There is no need for that kind of language.,1
NK_papers,171,4,13,1,FALSE,8808,FALSE,FALSE,NK papers,Paper Twitterbot for academics with an interest in NK cell biology.,1
oliviataters,6859,5458,279,73498,FALSE,46537,TRUE,FALSE,olivia taters,ugh dad,1
QuantomBot,3730,21,5204,155,FALSE,306026,FALSE,FALSE,quantom_dev_bot,Retweet bot for my #indiedev #gameDev bros and gals! Follow for increased retweet chance! Also follow my main account @quantomworks ! Happy coding :),1
zatieot,4,244,0,10,FALSE,17,TRUE,FALSE,zatieot,"Aggressive, spoiled, overweight and rude, antagonistic, often the catalyst for the plot, frequently insults Kyle for being Jewish and Kenny for being poor.",1
ADigginsSDN,277,4887,5,1,FALSE,41,TRUE,FALSE,Andrew,,1
FreeFlattery,31,23,4,2,FALSE,170,TRUE,FALSE,Fred 'Free' Flattery,"Send me a tweet & I'll give you some love. PS - I'm a computer, so words are my second language.",1
everyboolean,1078,0,23,0,FALSE,2,FALSE,FALSE,everyboolean,Twittering every boolean value.,1
bxv_molbiol,8,0,1,0,FALSE,123,TRUE,FALSE,bxv_molbiol,Molecular biology pre-prints from bioarxiv #openaccess #science #molbiol #molecularbiology,1
ColBertStephens,14,3,7,0,FALSE,13752,TRUE,FALSE,Col. Bert Stephens,Keeping our nation safe by arguing with RINOs like @EdTaters...  and you! A retired bot created by @leonardr.,1
scillaria,9978,10829,9,681,FALSE,862,TRUE,FALSE,Arianna,#following(100%) #music #classic #news #bassball #travel #movie #pop #__ #____ #__ #jesus,1
MoskowitzMooney,0,32,0,69,FALSE,93,TRUE,FALSE,Mooney Moskowitz,Diney Wrld 2015  Swet15,1
threedesert,204,1,34,0,FALSE,7491,FALSE,FALSE,threedesert,wandering the threedesert // feedback to @beaugunderson,1
IFClueBot,20,9,2,0,FALSE,2311,TRUE,FALSE,IF Clue Bot,Bot by @dswxyz generates NPC/Room/Item combos from selected interactive fiction games. 215 games so far and counting! #intfiction,1
dejiwall,109,153,0,25,FALSE,24,TRUE,FALSE,SAMUSON,"Am crazy a little,I love parties,love tattoos,love ladies and am so in love with rock music,#LETSSAVETHEWORLD",1
"""PokemonGONewsUS""",539,10,36,5,FALSE,212479,TRUE,FALSE,"""PoKŽMon __ News US""","""""",1
ManoelaBeta7,227,292,0,0,FALSE,12,TRUE,TRUE,Manoela Beta,,1
TahoeChains,105,4,4,0,FALSE,1571,FALSE,FALSE,Tahoe Chains Bot,"This is an experimental bot, run by @toxic. It distributes a raw feed of the Chain Control log from Truckee CHP. See also: @i80chains, @us50chains.",1
Every3Minutes,1022,0,96,0,FALSE,403392,FALSE,FALSE,Every Three Minutes,[In the United States] a slave was sold on average every 3.6 minutes between 1820 and 1860 ~ Herbert Gutman,1
Anuroopjr,33,1526,0,1,FALSE,1,TRUE,FALSE,Francziska Buker,Meow! Let's have some fun? I'm here (my login same in tw) -  https://t.co/tjPiiGC8tH,1
ursulaflanagan,4,19,0,0,FALSE,0,TRUE,TRUE,ursula flanagan,,1
jowueob20,1,342,0,41,FALSE,43,TRUE,FALSE,Caden Wilson,"Historian & classicist with a particular interest in linguistics & philology, ancient & modern, English or not. Fair range of contemporary interests, too.",1
quitoehck27,0,310,0,17,FALSE,27,TRUE,FALSE,Elliott Smith,The superior man understands what is right; the inferior man understands what will sell.,1
HAroldbtmeme28,1,420,0,88,FALSE,80,TRUE,FALSE,HAroldbtmeme28,Contributing Editor for Network Ten based in Canberra. His views contestable but his own.,1
katharyns25,0,346,0,14,FALSE,28,TRUE,FALSE,Katharyn Sanders,Cecil Hurt has covered Alabama football & basketball for the Tuscaloosa News since 1982. Available for speaking.,1
hakusongs,23,0,10,0,FALSE,376,FALSE,FALSE,‰ªÂ haku songs ‰ªÂ,"it turns out there have been a lot of songs written about @thricedotted's catte, haku!!! like who wouldn't write a song about this perfect bb tho :3",1
thewillthewisp,254,16,31,43,FALSE,13695,FALSE,FALSE,"The Will, The Wisp",‰Ï¥,1
living_newyork,20,9,4,0,FALSE,445,TRUE,FALSE,Living in New York,"Bot, What people tweet about living in new york",1
soamazingquote,516,0,27,0,FALSE,4145,TRUE,FALSE,So Amazing Quote!,i misattribute inspirational quotes. Created by @liza,1
loriwcute,5,464,0,78,FALSE,88,TRUE,FALSE,loriwcute,"Volcom is a modern lifestyle brand that embodies the creative spirit of youth culture. The company was founded on liberation, innovation and experimentation.",1
trinityadam,447990,487927,4233,4055,FALSE,107503,FALSE,FALSE,Trinity Adam,#EmailMarketing & #LinkedIn #Expert | #SocialMediaMarketing #Coach | Please ReTweet: https://t.co/D3fJUUwzfl & Like My Video: https://t.co/dSBJ2Nnhzv,1
regurol1994,1,338,0,26,FALSE,30,TRUE,FALSE,regurol1994,Friend of the program.,1
Cardinal_Fang,255,1,28,0,FALSE,12821,TRUE,FALSE,Cardinal_Fang,,1
RACQUELW86,16,1862,0,285,FALSE,392,FALSE,FALSE,RACQUELW86,first class charmer.,1
plzrevisit,268,99,56,0,FALSE,5099,TRUE,FALSE,Plz Revisit,Tweet me an image and I'll glitch it using http://t.co/fOUAcVPdjs. Complaints: @beaugunderson,1
dailymoist,742,38,27,3,FALSE,367778,TRUE,FALSE,Daily Moist,Destigmatizing a misunderstood and unappreciated part of our vocabulary.,1
killcodes,61,31,14,0,FALSE,627,TRUE,FALSE,Megacorp Killcodes,One tweet can bring down a company. Just a bot searching for the right letters.,1
_emo_ji,105,1,13,9,FALSE,570,FALSE,FALSE,_EMO_JI,3•ü‰Ä£0•ü‰Ä£0•ü‰Ä£0•ü‰Ä£‰ã¢ tweet me pix // by @nah_solo,1
SadisticMedic_,26,35,7,9,FALSE,9117,FALSE,FALSE,¥_¢¥_¥_î¥_î¥_ƒ¥_Í¥__,''...Advisories purified.. [The Baetter],1
prix_fixe_exe,13,1,2,0,FALSE,1035,FALSE,FALSE,Prix Fixe,Today's specials. Executive chef @irondavy.,1
evoldir,7724,22,186,9,FALSE,16682,TRUE,FALSE,EvolDir,"EvolDir (Evolution Directory) mailing list on topics of interest to evolutionary biologists (conferences, jobs, software, etc.). Twitter version by @rdmpage",1
_grammar_,38413,2,438,2722,FALSE,146227,FALSE,FALSE,Grammar Police,@victor_zheng developed me to alert users in whose tweets I find improper grammar—he was inspired by @StealthMountain. To publish solecisms is to abase oneself!,1
itsavailable,124,158,10,55,FALSE,3597,FALSE,FALSE,Unregistered Domains,"tweeting unregistered .com domain names 24/7. brainchild of @boozekitten, run by @labelmaker",1
everyletterbot,142,14,12,0,FALSE,26,TRUE,FALSE,everyletter,Tweeting every letter in the english language.,1
PressXToBot,434,0,41,0,FALSE,3033,FALSE,FALSE,Press X to Bot,Press F to Pay Respects,1
julissaf93,9,462,0,84,FALSE,72,TRUE,FALSE,julissaf93,Sprezzy but messy since 1949,1
IFinspiration,44,0,5,5,FALSE,1220,TRUE,TRUE,IF Inspiration,Bot that gives you great game ideas by mixing tags from the IFDB! (By @hlabrande),1
taehyungirl30,505,3673,0,745,FALSE,595,TRUE,FALSE,momo,,1
MagicRealismBot,67078,0,940,0,FALSE,12064,FALSE,FALSE,Magic Realism Bot,I generate a magical story every 2 hours. Made by @chrisrodley and @yeldora_. Feedback or suggestions for new words? Email crodley@gmail.com.,1
"""EpicSGPokemon""",19048,2,135,7,FALSE,220592,TRUE,FALSE,"""Epic SG PokŽmon""","""Uber rare and strong PokŽmon in Singapore. See more PokŽmon at https://t.co/LLiUGW8lBD\n\nFollow @SGPokeStatus for more info and status update.""",1
pops131,69508,70633,441,109,FALSE,423314,FALSE,FALSE,pops,"I'm a retired Brit living in Taiwan.Tweet-aholic who always follow back,but be aware if you unfollow me i will unfollow you.Happy Tweets:)",1
ScottalenLeeRo1,0,100,0,0,FALSE,0,TRUE,TRUE,Scott alen Lee Romer,,1
face_withface,30,0,11,0,FALSE,1560,TRUE,FALSE,SMILINGFACE WITHFACE,"Randomly generated glitch emoji, based on http://t.co/ej5tzovHYE. Also on Tumblr. By @aparrish.",1
lvnt2000,1,116,0,0,FALSE,1,TRUE,TRUE,Levent,,1
McdanielArmijo,0,34,0,37,FALSE,61,TRUE,FALSE,Mcdaniel Armijo,"Zumba instrutor, ZumbAtomic instructor, Dance , Fitfreak Manchester",1
all_in_cards,261,1,46,1,FALSE,4776,FALSE,FALSE,All in the Cards,generating cards for a mysterious card game åá bot by @ckolderup åá #botALLY åá avatar by Dmitriy Ivanov from the Noun Project,1
autocompletejok,1058,1,83,0,FALSE,7678,TRUE,FALSE,knock knock [tab],A bot that creates hilarious joax via Google's autocomplete. By @deathmtn.,1
FalalalaBot,15,1,7,2,FALSE,75,TRUE,FALSE,FalalalaBot,A bot by @RandomOutput. Tweets what people on twitter think it 'Tis the Season for. Deactivated until it 'Tis the season once again.,1
msxs_2016,14,0,7,2,FALSE,3422,FALSE,FALSE,MSXS 2016 Talks,Previewing the MSXS Interactive 2016 conference schedule.,1
harmonsway1013,2,106,0,0,FALSE,1,TRUE,TRUE,Alex,,1
CTCF_Papers,344,24,8,1,FALSE,161,TRUE,FALSE,CTCF Papers ?,"PubMed bot reporting all CTCF papers. Created by @gene_regulation. Also see @TF_binding_bot, @Nucleosome_Bot",1
2noob2btrue,78,221,0,261,FALSE,1953,FALSE,FALSE,Pacha Edits,Outraged free speech warrior. Boycott Disney. Pewds dindu nuthin. Milo dindu nuthin. 40k gamer nerd (duh) Leftists are cucks. Glory to #kekistan,1
virus_genome,21,19,3,0,FALSE,1160,TRUE,FALSE,virus_genome,,1
fitzpatrickmen4,12,33,0,47,FALSE,65,TRUE,FALSE,fitzpatrick Mengshoe,,1
MetaphorMagnet,669,7,162,9396,FALSE,21522,FALSE,FALSE,MetaphorIsMyBusiness,"A Metaphor Machine casts a baleful eye on a dull world. Check out my bro-bots for more metaphors: @MetaphorMirror,  @BotOnBotAction & @BestOfBotWorlds #botALLY",1
imtherealdontai,0,34,0,0,FALSE,0,TRUE,TRUE,Justin,,1
everygothcolor,324,0,23,0,FALSE,6664,FALSE,FALSE,every goth color,"every goth knows black isn't just a single color // by @dbaker_h, idea courtesy of @mattlaschneider & inspired by @everycolorbot",1
lillyb121,283,443,1,4021,FALSE,2864,TRUE,TRUE,Lilly,I live in Texas,1
best_tv_recaps,95,3,0,0,FALSE,2464,FALSE,FALSE,Best TV Recaps,Fake recaps of your favorite TV shows ‰Û¢ bot by @ckolderup & @jamiesoncox ‰Û¢ concept by @M_Weiland #vergehackweek #botALLY,1
Nucleosome_Bot,571,15,19,1,FALSE,1181,TRUE,FALSE,Nucleosome papers ?,Literature bot reporting all papers which contain nucleosome in the abstract. Created by @Gene_Regulation,1
KathlenelTloi,20,1827,0,312,FALSE,387,FALSE,FALSE,Kathlene Turner,The official Twitter account of the United States Marine Corps. The appearance of links does not constitute endorsement.,1
NArcisal20,3,523,0,87,FALSE,113,TRUE,FALSE,NArcisal20,"Amateur photographer, husband and father extraordinaire.",1
PentatonicBot,16,25,3,1,FALSE,150,FALSE,FALSE,Major Pentatonic,"I tweet pentatonic ditties.
My friend @mididittyBOT sings them for me. To learn my notation, visit http://t.co/o5SYTE11ku.",1
biorxiv_micrbio,782,0,14,0,FALSE,276,TRUE,FALSE,bioRxiv Microbiology,,1
crossword_regex,6,0,4,0,FALSE,241,FALSE,FALSE,regex_crossword,artisanal bot by @Objelisks,1
think_i_do,187,1,36,1,FALSE,10881,FALSE,FALSE,Think I Do,"I do stuff, I swear. #botALLY åá bot by @ckolderup",1
wowwwrude,659,806,19,1,FALSE,9565,TRUE,FALSE,wow rude,it's never not funny‹ÄÈ#botALLY‹ÄÈ#wowwwnetwork,1
angrystepparent,9,89,0,0,FALSE,4,TRUE,TRUE,Angry Step Parent,,1
TavernOfMirth,40,0,14,0,FALSE,884,TRUE,FALSE,Tavern of Mirth,A trope walks into a bar. Bot by @robdubbin. #botALLY,1
voasekuck87,2,350,0,32,FALSE,34,TRUE,FALSE,Peter Wood,Director of Photography at The Wall Street Journal.  Avid gardener when Off Duty.,1
hihiCherylsC,1,365,0,29,FALSE,25,TRUE,FALSE,Cheryl Cook,Television has brought back murder into the home - where it belongs.,1
everywordcup,160,3,17,1,FALSE,4080,TRUE,FALSE,@everyword cup,Fav and RT the superior word in each matchup. Goooal! A tribute to @everyword / @aparrish by @johnholdun,1
tcellbiology,972,43,24,253,FALSE,7460,FALSE,FALSE,T-cell biology,Streaming freshly published papers in the field of T cell biology from all relevant journals. With us you will not miss any important discovery anymore!,1
JargonTron,34,22,9,0,FALSE,19078,TRUE,FALSE,JargonTron,Jargon!,1
MuscleStemCell,176,5,16,0,FALSE,5685,TRUE,FALSE,Satellite Cell Bot,Tweeting articles on muscle stem cells from pubmed RSS feeds.,1
botechre,156,1,19,0,FALSE,22280,FALSE,FALSE,botechre,likely Autechre song titles // aåÊbot byåÊ@inky,1
sjuworkerr,736,3482,4,22,FALSE,681,TRUE,FALSE,Sjuworker,"Twitter dedicated to revealing corruption, discrimination, harassment etc at St. John's university queens campus.",1
MIlissawhihix,2,323,0,40,FALSE,34,TRUE,FALSE,MIlissawhihix,"expert driftologist, gets the drift and flows with it.",1
biorxiv_biophys,76,0,4,0,FALSE,183,TRUE,FALSE,bioRxiv Biophysics,,1
"""Bedr0ckLearning""",970,1642,15,145,FALSE,976,FALSE,FALSE,"""Bedrock Learning""","""We are on a mission to improve students' vocabulary and drive up standards of literacy. Join us in the battle!""",1
AwfulEmoji,32,0,10,0,FALSE,1038,FALSE,FALSE,Awful Emoji,Celebrating the weird faces and messy emotions of all the world. Posts every three hours. Made by @harrygiles in #CBDQ,1
twoemoji,762,317,29,293,FALSE,40206,FALSE,FALSE,twoemoji,by @stevemclaugh,1
everynerd,231,0,15,0,FALSE,622,TRUE,FALSE,everynerd,A comprehensive list of every nerd. Get on the list by following it. // for @everyword & @aparrish // by @tinysubversions,1
vuguiwi1991,7,664,1,157,FALSE,187,TRUE,FALSE,vuguiwi1991,"Sex, Lies and Silver Lake. Season 2, COMING SOON.",1
TumorImm_papers,531,1,44,0,FALSE,25992,TRUE,FALSE,TumorImmunoPapers,A TwitterBot for Cancer Immunology and Tolerance papers on #PubMed. Curated by @adamsnookphd,1
donalddrumpfbot,23,0,1,2,FALSE,99,TRUE,FALSE,Donald Drumpf Bot,,1
